name,marketcap,price,pricechange
Bitcoin,909.586B,48332.15,2.2
Ethereum,405.678B,3450.34,1.54
HEX,83.494B,0.48,17.48
Cardano,75.960B,2.37,1.02
Binance Coin,69.386B,412.68,1.55
Tether,68.297B,1.0,-0.02
XRP,50.298B,1.08,1.19
Solana,48.278B,162.64,10.31
Polkadot,34.454B,34.89,5.66
Dogecoin,31.685B,0.24,0.43
USD Coin,29.388B,1.0,-0.01
Avalanche,15.179B,68.9,-1.44
Uniswap,14.910B,24.38,0.31
Terra,14.124B,35.16,2.13
ChainLink,12.925B,28.5,2.94
Litecoin,12.086B,181.05,0.68
Bitcoin Cash,11.857B,629.06,1.34
Algorand,11.173B,2.07,8.01
Wrapped Bitcoin,9.984B,48364.89,2.23
Internet Computer,9.592B,58.89,4.47
Filecoin,9.074B,84.31,-1.66
Polygon,9.043B,1.36,-4.38
Cosmos,8.750B,39.49,18.25
FTX Token,7.733B,64.03,4.01
Stellar,7.622B,0.32,1.34
TRON,7.587B,0.11,0.41
Ethereum Classic,7.440B,57.28,1.12
VeChain,7.275B,0.11,1.36
Dai,6.602B,1.0,-0.05
Theta Token,6.377B,6.38,0.94
Tezos,5.594B,6.5,6.37
EOS,5.208B,5.43,3.63
PancakeSwap,4.983B,22.38,4.98
Monero,4.865B,270.36,2.93
Elrond,4.747B,243.88,0.89
Aave,4.709B,357.26,0.93
IOTA,4.560B,1.64,-5.93
Quant,4.432B,367.07,6.34
eCash,4.312B,0.0,-3.54
NEAR Protocol,4.311B,9.32,12.35
Hedera Hashgraph,4.177B,0.43,1.69
Bitcoin BEP2,4.115B,48339.86,2.23
Axie Infinity,4.017B,65.95,0.33
The Graph,3.942B,0.84,2.19
NEO,3.492B,49.51,1.54
Kusama,3.474B,410.19,5.71
Fantom,3.360B,1.32,5.99
Klaytn,3.203B,1.28,-5.91
Waves,3.090B,29.09,1.05
SHIBA INU,3.054B,0.0,-9.12
Bitcoin SV,3.000B,159.19,1.54
UNUS SED LEO,2.949B,3.09,0.1
Maker,2.815B,2839.6,2.24
BitTorrent,2.608B,0.0,1.11
TerraUSD,2.599B,1.0,-0.02
Huobi Token,2.366B,14.42,0.07
THORChain,2.251B,10.03,3.83
Compound,2.217B,402.66,0.66
Creditcoin,2.208B,3.91,-1.22
Dash,2.082B,201.38,1.1
Amp,2.071B,0.05,2.51
Helium,1.958B,19.98,2.05
Chiliz,1.939B,0.33,1.21
Decred,1.925B,144.46,-0.29
Revain,1.847B,0.02,7.13
BigONE Token,1.822B,0.17,12.66
Stacks,1.822B,1.46,0.68
Zcash,1.765B,139.24,3.76
Holo,1.754B,0.01,7.21
Arweave,1.631B,48.83,-0.5
Theta Fuel,1.625B,0.31,0.04
Celo,1.620B,5.28,3.86
SushiSwap,1.604B,12.61,0.74
Synthetix Network Token,1.478B,12.87,0.62
Decentraland,1.473B,0.82,0.64
XinFin Network,1.459B,0.12,-1.28
TrueUSD,1.397B,1.0,0.05
Enjin Coin,1.378B,1.65,1.09
Mina,1.358B,5.66,6.33
Parachute,1.335B,2.18,2.2
Celsius,1.322B,5.53,1.55
ICON,1.283B,1.92,1.99
Zilliqa,1.278B,0.11,1.33
IOStoken,1.260B,0.07,0.84
yearn.finance,1.243B,33928.91,2.1
Qtum,1.236B,12.53,0.59
OmiseGO,1.229B,8.77,3.21
Curve DAO Token,1.204B,2.82,0.83
Flow (Dapper Labs),1.188B,20.82,0.97
Bitcoin Gold,1.169B,66.76,2.38
Basic Attention Token,1.132B,0.76,1.32
Audius,1.109B,2.73,1.51
Horizen,1.104B,95.75,2.44
Ravencoin,1.098B,0.11,0.87
Mdex,1.095B,1.62,1.11
Telcoin,1.026B,0.02,1.55
Perpetual Protocol,990.962M,15.12,-1.78
Ren,972.495M,0.97,3.48
Bancor,954.274M,4.11,2.42
Pax Dollar,947.534M,1.0,0.0
0x,947.332M,1.12,3.81
Siacoin,935.766M,0.02,5.74
Nexo,924.669M,1.65,1.09
Ontology,887.214M,1.01,1.44
dYdX,885.236M,15.9,-3.21
DigiByte,833.216M,0.06,1.56
Facebook tokenized stock Bittrex,816.225M,374.42,0.0
Bitcoin Cash ABC,807.902M,43.5,2.2
Gala,806.074M,0.12,-1.08
DeFiChain,792.596M,2.64,0.87
renBTC,758.789M,48351.78,2.45
Symbol,746.471M,0.14,5.11
Coin98,741.541M,4.01,9.75
Ankr,740.956M,0.1,0.73
Nano,727.942M,5.46,1.16
Conflux Network,726.060M,0.73,177.29
UMA,713.429M,11.36,2.02
The Sandbox,694.080M,0.78,1.05
Voyager Token,686.636M,3.09,24.09
SwissBorg,685.643M,0.69,-0.39
Celer Network,667.622M,0.11,-4.64
WhiteCoin,662.514M,0.89,2.86
Fetch.ai,618.193M,0.83,0.36
IoTeX,613.486M,0.06,-0.01
Loopring,600.189M,0.45,-1.94
Kava,572.961M,6.27,2.24
1inch,568.105M,3.15,1.14
Ergo,552.003M,17.24,-2.23
Factom,545.190M,1.62,-2.87
Golem,525.033M,0.53,-2.51
Neutrino USD,522.727M,0.98,2.2
Reserve Rights,521.633M,0.04,0.99
Serum,518.690M,10.37,7.12
Pirate Chain,516.361M,2.76,3.88
WAX,505.574M,0.29,0.61
Ocean Protocol,496.046M,0.81,2.44
SKALE Network,494.403M,0.41,-0.59
aelf,493.754M,0.91,-8.89
Swipe,493.367M,2.63,0.17
DigitalBits,489.711M,0.63,6.7
Numeraire,479.603M,47.03,5.19
Dent,474.364M,0.0,1.32
Lisk,456.849M,3.54,1.07
Alpha Finance Lab,455.747M,1.12,0.3
Storj,446.698M,1.4,1.7
Polymath,444.955M,0.71,-2.93
Unibright,442.300M,2.95,3.93
Akash Network,436.866M,5.53,11.61
Nervos Network,417.742M,0.01,-1.0
Electroneum,412.019M,0.02,6.94
